modeltype,numberOfFaces,numberOfVerticesPerFace,translate,scale,rotationAngle,verticesSize,vertices,colorsSize,colors,texcoordsSize,texcoords,textureVariables,normalsSize,normals,customModelAttributesCount,customModelAttributes,text
SPHERE,1,1,1.087000;0.581000;-1.014000,0.895107;1.399531;0.895107,0.000000;36.521999;132.173996,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,RectangularLeafWall.png,0,NODATA,3,1.000000;59.903000;5.464000,NODATA,
CYLINDER,1,1,0.000000;0.000000;0.000000,1.008050;1.008050;1.008050,86.957001;0.000000;15.652000,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,Khod.bmp,0,NODATA,6,1.000000;0.114000;0.355000;3.227000;8.884000;1.000000,NODATA,
CYLINDER,1,1,-0.725000;0.725000;0.435000,0.840987;0.840987;0.840987,99.129997;20.870001;0.000000,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,Khod.bmp,0,NODATA,6,1.000000;0.065000;0.307000;2.454000;7.744000;12.874000,NODATA,
CYLINDER,1,1,0.000000;-1.159000;0.000000,0.854143;0.854143;0.854143,238.261002;27.826000;53.912998,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,Khod.bmp,0,NODATA,6,1.000000;0.258000;0.065000;2.067000;10.594000;1.188000,NODATA,
CYLINDER,1,1,0.000000;-1.449000;0.000000,0.758892;0.758892;0.758892,290.434998;27.826000;50.435001,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,Khod.bmp,0,NODATA,6,1.000000;0.259000;0.000000;1.932000;20.000000;20.000000,NODATA,
SPHERE,1,1,-0.870000;0.724000;0.579000,0.782159;0.891385;1.255472,130.434998;22.608999;0.000000,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,RectangularLeafWall.png,0,NODATA,3,1.000000;12.019000;20.000000,NODATA,
SPHERE,1,1,0.724000;-0.145000;0.579000,0.964305;1.271611;1.015497,17.391001;0.000000;0.000000,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,RectangularLeafWall.png,0,NODATA,3,1.000000;10.309000;20.000000,NODATA,
SPHERE,1,1,0.145000;1.014000;0.000000,1.000000;1.812000;1.000000,0.000000;0.000000;0.000000,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,RectangularLeafWall.png,0,NODATA,3,1.000000;20.000000;20.000000,NODATA,
SPHERE,1,1,-0.580000;0.000000;0.289000,1.464000;0.913000;1.000000,156.522003;0.000000;38.261002,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,RectangularLeafWall.png,0,NODATA,3,1.000000;10.595000;8.599000,NODATA,
